NUTS3;CODE
'BE213';'2230'
'BE212';'2801'
'BE212';'2580'
'BE241';'1500'
'BE234';'9860'
'BE323';'7020'
'BE32A';'7802'
'BE341';'6700'
'BE351';'5502'
'BE32B';'6110'
'BE351';'5555'
'BE332';'4431'
'BE32B';'6183'
'BE211';'2900'
'BE254';'8540'
'BE341';'6704'
'BE351';'5522'
'BE253';'8954'
'BE32A';'7863'
'BE212';'2570'
'BE310';'1473'
'BE32B';'6000'
'BE242';'3054'
'BE32A';'7810'
'BE224';'3501'
'BE332';'4340'
'BE213';'2491'
'BE213';'2321'
'BE353';'5620'
'BE254';'8791'
'BE233';'9971'
'BE253';'8940'
'BE213';'2340'
'BE235';'9681'
'BE223';'3630'
'BE332';'4458'
'BE241';'1653'
'BE241';'1750'
'BE258';'8691'
'BE254';'8530'
'BE332';'4030'
'BE332';'4633'
'BE342';'6698'
'BE32D';'6567'
'BE310';'1428'
'BE242';'3018'
'BE32B';'6280'
'BE100';'1170'
'BE223';'3798'
'BE323';'7031'
'BE32B';'6181'
'BE335';'4650'
'BE341';'6791'
'BE334';'4250'
'BE235';'9772'
'BE335';'4880'
'BE32D';'6462'
'BE345';'6720'
'BE224';'3971'
'BE224';'3803'
'BE335';'4800'
'BE241';'1932'
'BE241';'1700'
'BE225';'3970'
'BE242';'3191'
'BE343';'6953'
'BE242';'3440'
'BE254';'8570'
'BE332';'4053'
'BE32D';'6543'
'BE254';'8790'
'BE254';'8554'
'BE341';'6790'
'BE352';'5030'
'BE335';'4831'
'BE32B';'6001'
'BE234';'9940'
'BE342';'6681'
'BE323';'7334'
'BE334';'4360'
'BE32A';'7890'
'BE331';'4530'
'BE224';'3545'
'BE323';'7333'
'BE213';'2382'
'BE254';'8511'
'BE335';'4840'
'BE329';'7130'
'BE257';'8720'
'BE225';'3650'
'BE241';'1850'
'BE242';'3450'
'BE251';'8301'
'BE310';'1331'
'BE351';'5504'
'BE329';'7141'
'BE351';'5543'
'BE336';'4711'
'BE241';'1742'
'BE242';'3201'
'BE100';'1082'
'BE234';'9890'
'BE242';'3190'
'BE242';'3370'
'BE32B';'6141'
'BE224';'3690'
'BE225';'3990'
'BE352';'5081'
'BE351';'5590'
'BE334';'4263'
'BE234';'9930'
'BE32B';'6060'
'BE334';'4470'
'BE225';'3910'
'BE223';'3570'
'BE211';'2018'
'BE253';'8906'
'BE341';'6706'
'BE241';'1950'
'BE235';'9750'
'BE212';'1367'
'BE234';'9810'
'BE234';'9831'
'BE242';'3400'
