NUTS3;CODE
'BE332';'4431'
'BE332';'4432'
'BE332';'4450'
'BE332';'4451'
'BE332';'4452'
'BE332';'4453'
'BE332';'4458'
'BE332';'4460'
'BE332';'4600'
'BE332';'4601'
'BE332';'4602'
'BE332';'4606'
'BE332';'4607'
'BE332';'4608'
'BE332';'4610'
'BE332';'4620'
'BE332';'4621'
'BE332';'4623'
'BE332';'4624'
'BE332';'4630'
'BE332';'4631'
'BE332';'4632'
'BE332';'4633'
'BE332';'4670'
'BE332';'4671'
'BE332';'4672'
'BE332';'4680'
'BE332';'4681'
'BE332';'4682'
'BE332';'4683'
'BE332';'4684'
'BE332';'4690'
'BE332';'4920'
'BE334';'4219'
'BE334';'4250'
'BE334';'4252'
'BE334';'4253'
'BE334';'4254'
'BE334';'4257'
'BE334';'4260'
'BE334';'4261'
'BE334';'4263'
'BE334';'4280'
'BE334';'4287'
'BE334';'4300'
'BE334';'4317'
'BE334';'4347'
'BE334';'4350'
'BE334';'4351'
'BE334';'4357'
'BE334';'4360'
'BE334';'4367'
'BE334';'4470'
'BE336';'4700'
'BE336';'4701'
'BE336';'4710'
'BE336';'4711'
'BE336';'4720'
'BE336';'4721'
'BE336';'4728'
'BE336';'4730'
'BE336';'4731'
'BE336';'4750'
'BE336';'4760'
'BE336';'4761'
'BE336';'4771'
'BE336';'4780'
'BE336';'4782'
'BE336';'4783'
'BE336';'4784'
'BE336';'4790'
'BE336';'4791'
'BE341';'6630'
'BE341';'6700'
'BE341';'6704'
'BE341';'6706'
'BE341';'6717'
'BE341';'6780'
'BE341';'6781'
'BE341';'6782'
'BE341';'6790'
'BE341';'6791'
'BE341';'6792'
'BE342';'6600'
'BE342';'6637'
'BE342';'6640'
'BE342';'6642'
'BE342';'6660'
'BE342';'6661'
'BE342';'6662'
'BE342';'6663'
'BE342';'6666'
'BE342';'6670'
'BE342';'6671'
'BE342';'6672'
'BE342';'6673'
'BE342';'6674'
'BE342';'6680'
'BE342';'6681'
'BE342';'6686'
'BE342';'6687'
'BE342';'6688'
'BE342';'6690'
'BE342';'6692'
'BE342';'6698'
'BE343';'6900'
'BE343';'6940'
'BE343';'6941'
'BE343';'6950'
'BE343';'6951'
'BE343';'6952'
'BE343';'6953'
'BE343';'6960'
'BE343';'6970'
'BE343';'6971'
'BE343';'6972'
'BE343';'6980'
'BE343';'6982'
'BE343';'6983'
'BE343';'6984'
